
[2018.02.21 18:45:39]dark[20]    time = 4270.46 ms
[2018.02.21 18:51:40]dark[20]    time = 6549.58 ms
[2018.02.21 18:53:39]dark[20]    time = 6600.05 ms
[2018.02.21 18:53:58]dark[20]    time = 5947.66 ms
[2018.02.21 18:55:02]dark[20]    time = 3863.85 ms
[2018.02.21 18:55:11]dark[20]    time = 5602.85 ms
[2018.02.21 18:55:26]dark[20]    time = 5381.74 ms
[2018.02.21 18:56:19]dark[20]    time = 8957.97 ms
[2018.02.21 18:56:28]dark[20]    time = 4363.13 ms
[2018.02.21 18:56:48]dark[20]    time = 4974.65 ms
[2018.02.21 18:56:58]dark[20]    time = 4471.31 ms
[2018.02.21 18:57:07]dark[20]    time = 7295.51 ms
[2018.02.21 18:57:19]dark[20]    time = 6618.60 ms
[2018.02.21 18:57:34]dark[20]    time = 10176.93 ms
[2018.02.21 18:57:48]dark[20]    time = 8482.59 ms
[2018.02.21 18:58:04]dark[20]    time = 7852.23 ms
[2018.02.21 18:58:32]dark[20]    time = 16929.51 ms
[2018.02.21 18:58:48]dark[20]    time = 8632.58 ms
[2018.02.21 18:59:08]dark[20]    time = 4819.05 ms
[2018.02.21 18:59:23]dark[20]    time = 4770.91 ms
[2018.02.21 18:59:47]dark[20]    time = 5052.35 ms
[2018.02.21 19:09:59]dark[5]    time = 85516.33 ms
[2018.02.21 19:12:11]dark[5]    time = 114203.92 ms
[2018.02.21 19:18:26]dark[5]    time = 124144.94 ms
[2018.02.21 19:20:55]dark[5]    time = 134946.05 ms
[2018.02.21 19:23:18]dark[5]    time = 127248.01 ms
[2018.02.21 23:34:42]dark[1]    time = 5186112.96 ms
[2018.03.24 06:46:44]dark[10]    time = 21371.11 ms
[2018.03.24 06:47:43]dark[10]    time = 21620.57 ms
[2018.03.24 06:48:18]dark[10]    time = 22802.84 ms
[2018.03.24 06:49:03]dark[10]    time = 21976.09 ms
[2018.03.24 06:50:02]dark[10]    time = 22803.37 ms
[2018.03.24 06:50:45]dark[10]    time = 24601.37 ms
[2018.03.24 06:51:41]dark[10]    time = 26499.50 ms
[2018.03.26 11:52:18]dark[10]    time = 21515.36 ms
[2018.03.26 14:13:52]dark[10]    time = 13945.26 ms
[2018.03.26 14:14:48]dark[10]    time = 15848.21 ms
[2018.03.26 14:15:33]dark[10]    time = 17159.93 ms
[2018.03.26 14:16:09]dark[10]    time = 17610.94 ms
[2018.03.26 14:16:47]dark[10]    time = 19254.07 ms
[2018.05.12 13:29:15]dark[20]    time = 1497.76 ms
[2018.05.12 13:30:08]dark[20]    time = 1025.84 ms
[2018.05.12 13:30:16]dark[20]    time = 935.91 ms
[2018.05.12 13:30:22]dark[20]    time = 929.14 ms
[2018.05.12 13:30:29]dark[20]    time = 906.42 ms
[2018.05.12 13:30:33]dark[20]    time = 1007.81 ms
[2018.05.12 13:30:38]dark[20]    time = 898.50 ms
[2018.05.12 13:30:41]dark[20]    time = 969.29 ms
[2018.05.12 13:30:44]dark[20]    time = 960.73 ms
[2018.05.12 13:30:51]dark[20]    time = 1016.72 ms
[2018.05.12 13:30:58]dark[20]    time = 1011.79 ms
[2018.05.12 13:31:03]dark[20]    time = 907.70 ms
[2018.05.12 13:31:07]dark[20]    time = 946.53 ms
[2018.05.12 13:31:10]dark[20]    time = 969.31 ms
[2018.05.12 13:31:15]dark[20]    time = 1003.32 ms
[2018.05.12 13:31:17]dark[20]    time = 1076.10 ms
[2018.05.12 13:31:22]dark[20]    time = 1126.75 ms
[2018.05.12 13:31:27]dark[20]    time = 1144.85 ms
[2018.05.12 13:31:33]dark[20]    time = 1112.08 ms
